"LANGUAGE","Español"
"TFC_NAM","Transfer Controller"
"TFC_DESC","Permite el control de las mercancias y cobertura del servicio."
"TFC_TAB_VEH","Vehicles"
"TFC_RES_PLD","Prefer local district"
"TFC_RES_PLD_TIP","If this is selected, preference will be given to servicing locations within the same district and/or park area as this building"
"TFC_RES_ENA","Enable location restrictions"
"TFC_RES_ENA_TIP","If this is selected, service will be restricted to the districts and/or buildings listed below (and any permitted outside connections)."
"TFC_DIS_AVA","Districtos disponibles"
"TFC_DIS_SEL","Districtos autorizados"
"TFC_DIS_ADD","Añadir este distrito a la lista de districtos permitidos"
"TFC_DIS_SUB","Eliminar este districto de la lista de districtos permitidos"
"TFC_BUI_SEL","Edificios permitidos"
"TFC_BUI_ADD","Usa el cursor para seleccionar un edificio para añadir a la lista de edificios permitidos"
"TFC_BUI_SUB","Eliminar este districto de la lista de districtos permitidos"
"TFC_VEH_AVA","Available vehicles"
"TFC_VEH_SEL","Permitted vehicles"
"TFC_VEH_ADD","Add this vehicle to the list of permitted vehicles"
"TFC_VEH_SUB","Remove this vehicle from the list of permitted vehicles"
"TFC_VEH_ANY","Any"
"TFC_GEN_BUY","Goods in"
"TFC_GEN_SEL","Goods out"
"TFC_GEN_SER","Service area"
"TFC_BLD_SDO","Dar servicio solo al districto actual"
"TFC_BLD_SDO_TIP","Habilite para asegurarse de que el edificio siempre pueda dar servicio al mismo distrito y/o área en la que se encuentra"
"TFC_BLD_IMP","Permitir importaciones"
"TFC_BLD_IMP_TIP","Permita que este edificio importe desde conexiones externas. Esto no se ve afectado por las restricciones de distrito o edificio."
"TFC_BLD_EXP","Permitir exportaciones"
"TFC_BLD_EXP_TIP","Permita que este edificio importe desde conexiones externas. Esto no se ve afectado por las restricciones de distrito o edificio."
"TFC_BLD_NOD","No hay distrito local"
"TFC_FIR_SER","Firefighting"
"TFC_DIS_TRU","Rescue trucks"
"TFC_DIS_HEL","Rescue helicopters"
"TFC_POL_PMO","Prisoners to jail"
"TFC_POL_PMI","Prisoners in"
"TFC_POL_PHO","Prison helicopter"
"TFC_POL_PHI","Prisoner transport"
"TFC_POL_PTO","Prisoner transfer"
"TFC_MAI_IML","Mail collection"
"TFC_MAI_OUN","Unsorted mail out"
"TFC_MAI_IST","Sorted mail in"
"TFC_MAI_IUN","Unsorted mail in"
"TFC_MAI_OST","Sorted mail out"
"TFC_MAI_OGM","Correo saliente"
"TFC_MAI_ICM","Correo entrante"
"TFC_GAR_ICO","Recolección de basura"
"TFC_GAR_ITF","Garbage in"
"TFC_GAR_OTF","Garbage out"
"TFC_GAR_ORR","Mercancías recicladas para vender"
"TFC_FIS_MKO","Reparto de pescado"
"TFC_FIS_MKI","Fish in"
"TFC_FIS_CFO","Goods out"
"TFC_PWR_INC","Compra de combustible"
"TFC_OIL_INC","Suministro de petróleo"
"TFC_SHT_INC","Comprando mercancías"
"TFC_WAR_RVU","Reservar vehículos para fábricas únicas"
"TFC_WAR_RVU_TIP","Seleccionando esto reservará una porción de los vehículos de entrega de este edificio sólo para el servicio de fábricas únicas"
"TFC_WAR_RVO","Reservar vehículos para conexiones externas"
"TFC_WAR_RVO_TIP","Seleccionando esto reservará una porción de los vehículos de entrega de este edificio sólo para servir a conexiones externas (importación y exportación)"
"TFC_WAR_RVI","Reservar vehículos para reparto en la ciudad"
"TFC_WAR_RVI_TIP","Seleccionando esto reservará una porción de los vehículos de entrega de este edificio, sólo para reparto en la ciudad (y no estará disponible para importar o exportar)"
"TFC_WAR_RVC","Vehículos reservados"
"TFC_WAR_RVC_TIP","Establecer el número de vehículos reservados"
"TFC_OPT_NEW","Usar nuevo algoritmo de coincidencia basado en distancias"
"TFC_OPT_NEW_TIP","Si se selecciona esta opción, el mod usará un algoritmo personalizado para hacer una mejor coincidencia con las transferencias, basado en la distancia más cercana."
"TFC_OPT_DIS","Multiplicador de distancia"
"TFC_OPT_DIS_TIP","Use esto para ajustar la agresividad del algoritmo para intentar encontrar una coincidencia más cercana. 100% (por defecto) es lo mismo que el juego por defecto; valores más bajos significarán que el juego gasta más tiempo y esfuerzo tratando de encontrar la coincidencia con la distancia más corta, a expensas del rendimiento."
"TFC_OPT_WAR","Multiplicador de prioridad para los almacenes"
"TFC_OPT_WAR_TIP","Use esto para forzar al algoritmo a dar mayor prioridad a las transferencias desde y hacia los almacenes (sobre otras opciones disponibles para el mismo tipo de cargamento). 0 (sin prioridad del almacén) es el valor prederminado, es el mismo comportamiento del juego por defecto; 4 da una prioridad muy alta para las transferencias de los almacenes."
"TFC_OPT_ORP","Aumentar prioridad de conexión ferroviaria al exterior"
"TFC_OPT_ORP_TIP","Use esto para forzar al algoritmo a dar mayor prioridad a las transferencias desde y hacia las conexiones ferroviarias (sobre otras opciones disponibles para el mismo tipo de cargamento). 0 (sin prioridad) es el valor prederminado, es el mismo comportamiento del juego por defecto; 4 da una prioridad muy alta para las transferencias de las conexiones ferroviarias."
"TFC_OPT_OSP","Incremento de prioridad de conexión para el envío hacia el exterior"
"TFC_OPT_OSP_TIP","Use esto para forzar al algoritmo a dar mayor prioridad a las transferencias desde y hacia para los envios del exterior (sobre otras opciones disponibles para el mismo tipo de cargamento). 0 (sin prioridad) es el valor prederminado, es el mismo comportamiento del juego por defecto; 4 da una prioridad muy alta para las transferencias de envió del exterior."
"TFC_OPT_PAT","Block offers with recent pathfind failures"
"TFC_OPT_PAT_TIP","Prevents offers from being matched if there's been a vehicle pathfinding failure between the two buildings in the past five minutes"
"TFC_OFF_TIT","Ofertas activas"
"TFC_OFF_LOG","Log de transferencias"
"TFC_LOG_BLD","Solo este edificio"
"TFC_LOG_ALW","Permitido"
"TFC_LOG_BLK","Bloqueado"
"TFC_LOG_INC","Entrante"
"TFC_LOG_OUT","Saliente"
"TRN_CHOICE","Elegir idioma"
"TRN_SYS","Utilizar idioma del juego"
"KEY_KEY","Tecla de acceso directo"
"KEY_PRS","Presiona cualquier tecla"
"TFC_ERR_FAT","Esto significa que el mod no puede funcionar"," and has shut down."
"TFC_ERR_HAR","Transfer Controller no pudo completar sus parches de Harmony requeridos."
"MES_CLS","Cerrar"
"ERR_HAR0","Error parcheando Harmony"
"ERR_HAR1","Las posibles causas del problema son:"
"ERR_HAR2","La dependencia del mod Harmony 2 no esta instalada"
"ERR_HAR3","Un viejo o estropeado mod, no permite que Harmony 2 funcione correctamente"
"ERR_CON0","Conflicto detectado!"
"ERR_CON1","Los mods conflictivos son:"
"TFC_ERR_CON0","Tranfer Controller ha detectado un conflico con al menos un mod."
"TFC_ERR_CON1","Los siguientes mods deben ser eliminados para que Transfer Controller pueda funcionar."
